candidate_id,onnx_node,decoder_layer,input_shapes,output_shape,graph_neighborhood_summary,semantic_hypothesis,semantic_identity,confidence,anchor_evidence,counter_evidence,unknowns
P6A_011,/MatMul_10,5,16x1x128;16x128x-1,16x1x-1,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,QK^T,QK^T,HIGH,"Q producer references /q_norm_5/Div and /q_norm_5/Mul;K producer references /k_norm_5/Div, /k_norm_5/Mul_1, /Reshape_* and /Transpose_*;TRT layer 142 tactic and Q/K shape compatibility;Immediate TRT consumer contains Softmax",NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_012,/MatMul_11,5,16x1x-1;16x-1x128,16x1x128,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,Attention_x_V,Attention_x_V,HIGH,Softmax output is first operand producer input;V/GQA Expand producer references /v_proj_5;TRT layer 145 tactic and probability/V shape compatibility;Immediate TRT consumer contains o_proj,NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_013,/MatMul_12,6,16x1x128;16x128x-1,16x1x-1,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,QK^T,QK^T,HIGH,"Q producer references /q_norm_6/Div and /q_norm_6/Mul;K producer references /k_norm_6/Div, /k_norm_6/Mul_1, /Reshape_* and /Transpose_*;TRT layer 167 tactic and Q/K shape compatibility;Immediate TRT consumer contains Softmax",NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_014,/MatMul_13,6,16x1x-1;16x-1x128,16x1x128,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,Attention_x_V,Attention_x_V,HIGH,Softmax output is first operand producer input;V/GQA Expand producer references /v_proj_6;TRT layer 170 tactic and probability/V shape compatibility;Immediate TRT consumer contains o_proj,NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_015,/MatMul_14,7,16x1x128;16x128x-1,16x1x-1,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,QK^T,QK^T,HIGH,"Q producer references /q_norm_7/Div and /q_norm_7/Mul;K producer references /k_norm_7/Div, /k_norm_7/Mul_1, /Reshape_* and /Transpose_*;TRT layer 192 tactic and Q/K shape compatibility;Immediate TRT consumer contains Softmax",NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_016,/MatMul_15,7,16x1x-1;16x-1x128,16x1x128,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,Attention_x_V,Attention_x_V,HIGH,Softmax output is first operand producer input;V/GQA Expand producer references /v_proj_7;TRT layer 195 tactic and probability/V shape compatibility;Immediate TRT consumer contains o_proj,NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_017,/MatMul_16,8,16x1x128;16x128x-1,16x1x-1,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,QK^T,QK^T,HIGH,"Q producer references /q_norm_8/Div and /q_norm_8/Mul;K producer references /k_norm_8/Div, /k_norm_8/Mul_1, /Reshape_* and /Transpose_*;TRT layer 217 tactic and Q/K shape compatibility;Immediate TRT consumer contains Softmax",NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_018,/MatMul_17,8,16x1x-1;16x-1x128,16x1x128,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,Attention_x_V,Attention_x_V,HIGH,Softmax output is first operand producer input;V/GQA Expand producer references /v_proj_8;TRT layer 220 tactic and probability/V shape compatibility;Immediate TRT consumer contains o_proj,NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_019,/MatMul_18,9,16x1x128;16x128x-1,16x1x-1,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,QK^T,QK^T,HIGH,"Q producer references /q_norm_9/Div and /q_norm_9/Mul;K producer references /k_norm_9/Div, /k_norm_9/Mul_1, /Reshape_* and /Transpose_*;TRT layer 241 tactic and Q/K shape compatibility;Immediate TRT consumer contains Softmax",NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_020,/MatMul_19,9,16x1x-1;16x-1x128,16x1x128,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,Attention_x_V,Attention_x_V,HIGH,Softmax output is first operand producer input;V/GQA Expand producer references /v_proj_9;TRT layer 244 tactic and probability/V shape compatibility;Immediate TRT consumer contains o_proj,NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_021,/MatMul_20,10,16x1x128;16x128x-1,16x1x-1,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,QK^T,QK^T,HIGH,"Q producer references /q_norm_10/Div and /q_norm_10/Mul;K producer references /k_norm_10/Div, /k_norm_10/Mul_1, /Reshape_* and /Transpose_*;TRT layer 266 tactic and Q/K shape compatibility;Immediate TRT consumer contains Softmax",NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_022,/MatMul_21,10,16x1x-1;16x-1x128,16x1x128,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,Attention_x_V,Attention_x_V,HIGH,Softmax output is first operand producer input;V/GQA Expand producer references /v_proj_10;TRT layer 269 tactic and probability/V shape compatibility;Immediate TRT consumer contains o_proj,NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_023,/MatMul_22,11,16x1x128;16x128x-1,16x1x-1,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,QK^T,QK^T,HIGH,"Q producer references /q_norm_11/Div and /q_norm_11/Mul;K producer references /k_norm_11/Div, /k_norm_11/Mul_1, /Reshape_* and /Transpose_*;TRT layer 291 tactic and Q/K shape compatibility;Immediate TRT consumer contains Softmax",NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_024,/MatMul_23,11,16x1x-1;16x-1x128,16x1x128,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,Attention_x_V,Attention_x_V,HIGH,Softmax output is first operand producer input;V/GQA Expand producer references /v_proj_11;TRT layer 294 tactic and probability/V shape compatibility;Immediate TRT consumer contains o_proj,NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_025,/MatMul_24,12,16x1x128;16x128x-1,16x1x-1,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,QK^T,QK^T,HIGH,"Q producer references /q_norm_12/Div and /q_norm_12/Mul;K producer references /k_norm_12/Div, /k_norm_12/Mul_1, /Reshape_* and /Transpose_*;TRT layer 316 tactic and Q/K shape compatibility;Immediate TRT consumer contains Softmax",NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_026,/MatMul_25,12,16x1x-1;16x-1x128,16x1x128,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,Attention_x_V,Attention_x_V,HIGH,Softmax output is first operand producer input;V/GQA Expand producer references /v_proj_12;TRT layer 319 tactic and probability/V shape compatibility;Immediate TRT consumer contains o_proj,NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_027,/MatMul_26,13,16x1x128;16x128x-1,16x1x-1,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,QK^T,QK^T,HIGH,"Q producer references /q_norm_13/Div and /q_norm_13/Mul;K producer references /k_norm_13/Div, /k_norm_13/Mul_1, /Reshape_* and /Transpose_*;TRT layer 341 tactic and Q/K shape compatibility;Immediate TRT consumer contains Softmax",NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_028,/MatMul_27,13,16x1x-1;16x-1x128,16x1x128,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,Attention_x_V,Attention_x_V,HIGH,Softmax output is first operand producer input;V/GQA Expand producer references /v_proj_13;TRT layer 344 tactic and probability/V shape compatibility;Immediate TRT consumer contains o_proj,NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_029,/MatMul_28,14,16x1x128;16x128x-1,16x1x-1,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,QK^T,QK^T,HIGH,"Q producer references /q_norm_14/Div and /q_norm_14/Mul;K producer references /k_norm_14/Div, /k_norm_14/Mul_1, /Reshape_* and /Transpose_*;TRT layer 366 tactic and Q/K shape compatibility;Immediate TRT consumer contains Softmax",NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_030,/MatMul_29,14,16x1x-1;16x-1x128,16x1x128,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,Attention_x_V,Attention_x_V,HIGH,Softmax output is first operand producer input;V/GQA Expand producer references /v_proj_14;TRT layer 369 tactic and probability/V shape compatibility;Immediate TRT consumer contains o_proj,NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_031,/MatMul_30,15,16x1x128;16x128x-1,16x1x-1,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,QK^T,QK^T,HIGH,"Q producer references /q_norm_15/Div and /q_norm_15/Mul;K producer references /k_norm_15/Div, /k_norm_15/Mul_1, /Reshape_* and /Transpose_*;TRT layer 390 tactic and Q/K shape compatibility;Immediate TRT consumer contains Softmax",NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_032,/MatMul_31,15,16x1x-1;16x-1x128,16x1x128,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,Attention_x_V,Attention_x_V,HIGH,Softmax output is first operand producer input;V/GQA Expand producer references /v_proj_15;TRT layer 393 tactic and probability/V shape compatibility;Immediate TRT consumer contains o_proj,NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_033,/MatMul_32,16,16x1x128;16x128x-1,16x1x-1,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,QK^T,QK^T,HIGH,"Q producer references /q_norm_16/Div and /q_norm_16/Mul;K producer references /k_norm_16/Div, /k_norm_16/Mul_1, /Reshape_* and /Transpose_*;TRT layer 415 tactic and Q/K shape compatibility;Immediate TRT consumer contains Softmax",NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_034,/MatMul_33,16,16x1x-1;16x-1x128,16x1x128,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,Attention_x_V,Attention_x_V,HIGH,Softmax output is first operand producer input;V/GQA Expand producer references /v_proj_16;TRT layer 418 tactic and probability/V shape compatibility;Immediate TRT consumer contains o_proj,NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_035,/MatMul_34,17,16x1x128;16x128x-1,16x1x-1,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,QK^T,QK^T,HIGH,"Q producer references /q_norm_17/Div and /q_norm_17/Mul;K producer references /k_norm_17/Div, /k_norm_17/Mul_1, /Reshape_* and /Transpose_*;TRT layer 440 tactic and Q/K shape compatibility;Immediate TRT consumer contains Softmax",NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_036,/MatMul_35,17,16x1x-1;16x-1x128,16x1x128,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,Attention_x_V,Attention_x_V,HIGH,Softmax output is first operand producer input;V/GQA Expand producer references /v_proj_17;TRT layer 443 tactic and probability/V shape compatibility;Immediate TRT consumer contains o_proj,NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_037,/MatMul_36,18,16x1x128;16x128x-1,16x1x-1,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,QK^T,QK^T,HIGH,"Q producer references /q_norm_18/Div and /q_norm_18/Mul;K producer references /k_norm_18/Div, /k_norm_18/Mul_1, /Reshape_* and /Transpose_*;TRT layer 465 tactic and Q/K shape compatibility;Immediate TRT consumer contains Softmax",NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_038,/MatMul_37,18,16x1x-1;16x-1x128,16x1x128,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,Attention_x_V,Attention_x_V,HIGH,Softmax output is first operand producer input;V/GQA Expand producer references /v_proj_18;TRT layer 468 tactic and probability/V shape compatibility;Immediate TRT consumer contains o_proj,NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_039,/MatMul_38,19,16x1x128;16x128x-1,16x1x-1,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,QK^T,QK^T,HIGH,"Q producer references /q_norm_19/Div and /q_norm_19/Mul;K producer references /k_norm_19/Div, /k_norm_19/Mul_1, /Reshape_* and /Transpose_*;TRT layer 490 tactic and Q/K shape compatibility;Immediate TRT consumer contains Softmax",NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_040,/MatMul_39,19,16x1x-1;16x-1x128,16x1x128,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,Attention_x_V,Attention_x_V,HIGH,Softmax output is first operand producer input;V/GQA Expand producer references /v_proj_19;TRT layer 493 tactic and probability/V shape compatibility;Immediate TRT consumer contains o_proj,NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_041,/MatMul_40,20,16x1x128;16x128x-1,16x1x-1,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,QK^T,QK^T,HIGH,"Q producer references /q_norm_20/Div and /q_norm_20/Mul;K producer references /k_norm_20/Div, /k_norm_20/Mul_1, /Reshape_* and /Transpose_*;TRT layer 515 tactic and Q/K shape compatibility;Immediate TRT consumer contains Softmax",NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_042,/MatMul_41,20,16x1x-1;16x-1x128,16x1x128,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,Attention_x_V,Attention_x_V,HIGH,Softmax output is first operand producer input;V/GQA Expand producer references /v_proj_20;TRT layer 518 tactic and probability/V shape compatibility;Immediate TRT consumer contains o_proj,NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_043,/MatMul_42,21,16x1x128;16x128x-1,16x1x-1,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,QK^T,QK^T,HIGH,"Q producer references /q_norm_21/Div and /q_norm_21/Mul;K producer references /k_norm_21/Div, /k_norm_21/Mul_1, /Reshape_* and /Transpose_*;TRT layer 540 tactic and Q/K shape compatibility;Immediate TRT consumer contains Softmax",NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_044,/MatMul_43,21,16x1x-1;16x-1x128,16x1x128,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,Attention_x_V,Attention_x_V,HIGH,Softmax output is first operand producer input;V/GQA Expand producer references /v_proj_21;TRT layer 543 tactic and probability/V shape compatibility;Immediate TRT consumer contains o_proj,NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_045,/MatMul_44,22,16x1x128;16x128x-1,16x1x-1,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,QK^T,QK^T,HIGH,"Q producer references /q_norm_22/Div and /q_norm_22/Mul;K producer references /k_norm_22/Div, /k_norm_22/Mul_1, /Reshape_* and /Transpose_*;TRT layer 565 tactic and Q/K shape compatibility;Immediate TRT consumer contains Softmax",NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_046,/MatMul_45,22,16x1x-1;16x-1x128,16x1x128,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,Attention_x_V,Attention_x_V,HIGH,Softmax output is first operand producer input;V/GQA Expand producer references /v_proj_22;TRT layer 568 tactic and probability/V shape compatibility;Immediate TRT consumer contains o_proj,NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_047,/MatMul_46,23,16x1x128;16x128x-1,16x1x-1,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,QK^T,QK^T,HIGH,"Q producer references /q_norm_23/Div and /q_norm_23/Mul;K producer references /k_norm_23/Div, /k_norm_23/Mul_1, /Reshape_* and /Transpose_*;TRT layer 590 tactic and Q/K shape compatibility;Immediate TRT consumer contains Softmax",NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_048,/MatMul_47,23,16x1x-1;16x-1x128,16x1x128,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,Attention_x_V,Attention_x_V,HIGH,Softmax output is first operand producer input;V/GQA Expand producer references /v_proj_23;TRT layer 593 tactic and probability/V shape compatibility;Immediate TRT consumer contains o_proj,NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_049,/MatMul_48,24,16x1x128;16x128x-1,16x1x-1,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,QK^T,QK^T,HIGH,"Q producer references /q_norm_24/Div and /q_norm_24/Mul;K producer references /k_norm_24/Div, /k_norm_24/Mul_1, /Reshape_* and /Transpose_*;TRT layer 615 tactic and Q/K shape compatibility;Immediate TRT consumer contains Softmax",NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_050,/MatMul_49,24,16x1x-1;16x-1x128,16x1x128,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,Attention_x_V,Attention_x_V,HIGH,Softmax output is first operand producer input;V/GQA Expand producer references /v_proj_24;TRT layer 618 tactic and probability/V shape compatibility;Immediate TRT consumer contains o_proj,NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_051,/MatMul_50,25,16x1x128;16x128x-1,16x1x-1,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,QK^T,QK^T,HIGH,"Q producer references /q_norm_25/Div and /q_norm_25/Mul;K producer references /k_norm_25/Div, /k_norm_25/Mul_1, /Reshape_* and /Transpose_*;TRT layer 640 tactic and Q/K shape compatibility;Immediate TRT consumer contains Softmax",NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_052,/MatMul_51,25,16x1x-1;16x-1x128,16x1x128,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,Attention_x_V,Attention_x_V,HIGH,Softmax output is first operand producer input;V/GQA Expand producer references /v_proj_25;TRT layer 643 tactic and probability/V shape compatibility;Immediate TRT consumer contains o_proj,NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_053,/MatMul_52,26,16x1x128;16x128x-1,16x1x-1,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,QK^T,QK^T,HIGH,"Q producer references /q_norm_26/Div and /q_norm_26/Mul;K producer references /k_norm_26/Div, /k_norm_26/Mul_1, /Reshape_* and /Transpose_*;TRT layer 665 tactic and Q/K shape compatibility;Immediate TRT consumer contains Softmax",NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_054,/MatMul_53,26,16x1x-1;16x-1x128,16x1x128,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,Attention_x_V,Attention_x_V,HIGH,Softmax output is first operand producer input;V/GQA Expand producer references /v_proj_26;TRT layer 668 tactic and probability/V shape compatibility;Immediate TRT consumer contains o_proj,NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_055,/MatMul_54,27,16x1x128;16x128x-1,16x1x-1,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,QK^T,QK^T,HIGH,"Q producer references /q_norm_27/Div and /q_norm_27/Mul;K producer references /k_norm_27/Div, /k_norm_27/Mul_1, /Reshape_* and /Transpose_*;TRT layer 690 tactic and Q/K shape compatibility;Immediate TRT consumer contains Softmax",NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_056,/MatMul_55,27,16x1x-1;16x-1x128,16x1x128,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,Attention_x_V,Attention_x_V,HIGH,Softmax output is first operand producer input;V/GQA Expand producer references /v_proj_27;TRT layer 693 tactic and probability/V shape compatibility;Immediate TRT consumer contains o_proj,NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
