layer_id,shape,precision,tactic,candidate_operator,confidence
47,"inputs=[{""name"":""/Softmax_1_output'.1"",""shape"":[16,1,-1],""precision"":""Half""},{""name"":""/Expand_3_output_0'.1"",""shape"":[16,-1,128],""precision"":""Half""},{""name"":""__mye567850/MatMul_3_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye567851/MatMul_3_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__myln_k_arg__bb1_2713"",""shape"":[16,1,128],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,UNKNOWN,MEDIUM
49,"inputs=[{""name"":""hidden_l0"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__mye574514_q8"",""shape"":[1,1,2048],""precision"":""Int8""},{""name"":""__mye614774dconst"",""shape"":[1,2048,1024],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2715"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Half;Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L1:o_proj,HIGH
51,"inputs=[{""name"":""__myln_k_arg__bb1_2716"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__mye614779dconst"",""shape"":[1,1024,3072],""precision"":""Half""},{""name"":""__mye567874/up_proj_1/MatMul_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye567875/up_proj_1/MatMul_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__myln_k_arg__bb1_2718"",""shape"":[1,1,3072],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,L1:up_proj,HIGH
52,"inputs=[{""name"":""__myln_k_arg__bb1_2718"",""shape"":[1,1,3072],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2717"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye614784dconst"",""shape"":[1,1024,3072],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2719"",""shape"":[1,1,3072],""precision"":""Half""}]",inputs=Half;Int8;Int8|outputs=Half,sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L1:gate_proj,HIGH
53,"inputs=[{""name"":""__myln_k_arg__bb1_2715"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2719"",""shape"":[1,1,3072],""precision"":""Half""},{""name"":""onnx__MatMul_7600 _ ONNXTRT_Broadcast_583_constantHalf"",""shape"":[1,3072,1024],""precision"":""Half""}]|outputs=[{""name"":""hidden_l1"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Half;Half;Half|outputs=Half,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_by_fusion_tactic,L1:down_proj,HIGH
55,"inputs=[{""name"":""__mye608531_2721"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__mye614789dconst"",""shape"":[1,1024,4096],""precision"":""Half""},{""name"":""__mye567907/v_proj_2/MatMul_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye567908/v_proj_2/MatMul_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__mye608531"",""shape"":[1,1,4096],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,L2:v_proj;L2:k_proj;L2:q_proj,HIGH
67,"inputs=[{""name"":""/Add_8_output_0'.1"",""shape"":[16,1,128],""precision"":""Half""},{""name"":""shuffle_output_/Reshape_20 _ /Transpose_13_first_transpose_output.1"",""shape"":[16,128,-1],""precision"":""Half""},{""name"":""__mye567948/MatMul_4_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye567949/MatMul_4_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__mye567945"",""shape"":[16,1,-1],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,UNKNOWN,MEDIUM
70,"inputs=[{""name"":""/Softmax_2_output'.1"",""shape"":[16,1,-1],""precision"":""Half""},{""name"":""/Expand_5_output_0'.1"",""shape"":[16,-1,128],""precision"":""Half""},{""name"":""__mye567969/MatMul_5_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye567970/MatMul_5_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__myln_k_arg__bb1_2734"",""shape"":[16,1,128],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,UNKNOWN,MEDIUM
72,"inputs=[{""name"":""hidden_l1"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__mye574520_q8"",""shape"":[1,1,2048],""precision"":""Int8""},{""name"":""__mye615294dconst"",""shape"":[1,2048,1024],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2736"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Half;Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L2:o_proj,HIGH
74,"inputs=[{""name"":""__myln_k_arg__bb1_2737"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__mye615299dconst"",""shape"":[1,1024,3072],""precision"":""Half""},{""name"":""__mye567993/up_proj_2/MatMul_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye567994/up_proj_2/MatMul_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__myln_k_arg__bb1_2739"",""shape"":[1,1,3072],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,L2:up_proj,HIGH
75,"inputs=[{""name"":""__myln_k_arg__bb1_2739"",""shape"":[1,1,3072],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2738"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye615304dconst"",""shape"":[1,1024,3072],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2740"",""shape"":[1,1,3072],""precision"":""Half""}]",inputs=Half;Int8;Int8|outputs=Half,sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L2:gate_proj,HIGH
76,"inputs=[{""name"":""__myln_k_arg__bb1_2736"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2740"",""shape"":[1,1,3072],""precision"":""Half""},{""name"":""onnx__MatMul_7636 _ ONNXTRT_Broadcast_857_constantHalf"",""shape"":[1,3072,1024],""precision"":""Half""}]|outputs=[{""name"":""hidden_l2"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Half;Half;Half|outputs=Half,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_by_fusion_tactic,L2:down_proj,HIGH
80,"inputs=[{""name"":""__myln_k_arg__bb1_2744"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye615309dconst"",""shape"":[1,1024,1024],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2745"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L3:v_proj,HIGH
84,"inputs=[{""name"":""__myln_k_arg__bb1_2743"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye615467dconst"",""shape"":[1,1024,1024],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2748"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L3:k_proj,HIGH
88,"inputs=[{""name"":""__myln_k_arg__bb1_2742"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye615472dconst"",""shape"":[1,1024,2048],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2753"",""shape"":[1,1,2048],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L3:q_proj,HIGH
92,"inputs=[{""name"":""/Add_12_output_0'.1"",""shape"":[16,1,128],""precision"":""Half""},{""name"":""shuffle_output_/Reshape_28 _ /Transpose_18_first_transpose_output.1"",""shape"":[16,128,-1],""precision"":""Half""},{""name"":""__mye568067/MatMul_6_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye568068/MatMul_6_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__mye568064"",""shape"":[16,1,-1],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,UNKNOWN,MEDIUM
95,"inputs=[{""name"":""/Softmax_3_output'.1"",""shape"":[16,1,-1],""precision"":""Half""},{""name"":""/Expand_7_output_0'.1"",""shape"":[16,-1,128],""precision"":""Half""},{""name"":""__mye568088/MatMul_7_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye568089/MatMul_7_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__myln_k_arg__bb1_2759"",""shape"":[16,1,128],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,UNKNOWN,MEDIUM
97,"inputs=[{""name"":""hidden_l2"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__mye574526_q8"",""shape"":[1,1,2048],""precision"":""Int8""},{""name"":""__mye615824dconst"",""shape"":[1,2048,1024],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2761"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Half;Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L3:o_proj,HIGH
99,"inputs=[{""name"":""__myln_k_arg__bb1_2762"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__mye615829dconst"",""shape"":[1,1024,3072],""precision"":""Half""},{""name"":""__mye568112/up_proj_3/MatMul_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye568113/up_proj_3/MatMul_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__myln_k_arg__bb1_2764"",""shape"":[1,1,3072],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,L3:up_proj,HIGH
100,"inputs=[{""name"":""__myln_k_arg__bb1_2764"",""shape"":[1,1,3072],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2763"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye615834dconst"",""shape"":[1,1024,3072],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2765"",""shape"":[1,1,3072],""precision"":""Half""}]",inputs=Half;Int8;Int8|outputs=Half,sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L3:gate_proj,HIGH
101,"inputs=[{""name"":""__myln_k_arg__bb1_2761"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2765"",""shape"":[1,1,3072],""precision"":""Half""},{""name"":""onnx__MatMul_7672 _ ONNXTRT_Broadcast_1140_constantHalf"",""shape"":[1,3072,1024],""precision"":""Half""}]|outputs=[{""name"":""hidden_l3"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Half;Half;Half|outputs=Half,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_by_fusion_tactic,L3:down_proj,HIGH
105,"inputs=[{""name"":""__myln_k_arg__bb1_2769"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye615839dconst"",""shape"":[1,1024,1024],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2770"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L4:v_proj,HIGH
109,"inputs=[{""name"":""__myln_k_arg__bb1_2768"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye615997dconst"",""shape"":[1,1024,1024],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2773"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L4:k_proj,HIGH
113,"inputs=[{""name"":""__myln_k_arg__bb1_2767"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye616002dconst"",""shape"":[1,1024,2048],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2778"",""shape"":[1,1,2048],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L4:q_proj,HIGH
117,"inputs=[{""name"":""/Add_16_output_0'.1"",""shape"":[16,1,128],""precision"":""Half""},{""name"":""shuffle_output_/Reshape_36 _ /Transpose_23_first_transpose_output.1"",""shape"":[16,128,-1],""precision"":""Half""},{""name"":""__mye568186/MatMul_8_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye568187/MatMul_8_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__mye568183"",""shape"":[16,1,-1],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,UNKNOWN,MEDIUM
120,"inputs=[{""name"":""/Softmax_4_output'.1"",""shape"":[16,1,-1],""precision"":""Half""},{""name"":""/Expand_9_output_0'.1"",""shape"":[16,-1,128],""precision"":""Half""},{""name"":""__mye568207/MatMul_9_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye568208/MatMul_9_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__myln_k_arg__bb1_2784"",""shape"":[16,1,128],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,UNKNOWN,MEDIUM
122,"inputs=[{""name"":""hidden_l3"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__mye574532_q8"",""shape"":[1,1,2048],""precision"":""Int8""},{""name"":""__mye616354dconst"",""shape"":[1,2048,1024],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2786"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Half;Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L4:o_proj,HIGH
124,"inputs=[{""name"":""__myln_k_arg__bb1_2787"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__mye616359dconst"",""shape"":[1,1024,3072],""precision"":""Half""},{""name"":""__mye568231/up_proj_4/MatMul_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye568232/up_proj_4/MatMul_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__myln_k_arg__bb1_2789"",""shape"":[1,1,3072],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,L4:up_proj,HIGH
125,"inputs=[{""name"":""__myln_k_arg__bb1_2789"",""shape"":[1,1,3072],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2788"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye616364dconst"",""shape"":[1,1024,3072],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2790"",""shape"":[1,1,3072],""precision"":""Half""}]",inputs=Half;Int8;Int8|outputs=Half,sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L4:gate_proj,HIGH
126,"inputs=[{""name"":""__myln_k_arg__bb1_2786"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2790"",""shape"":[1,1,3072],""precision"":""Half""},{""name"":""onnx__MatMul_7708 _ ONNXTRT_Broadcast_1423_constantHalf"",""shape"":[1,3072,1024],""precision"":""Half""}]|outputs=[{""name"":""hidden_l4"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Half;Half;Half|outputs=Half,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_by_fusion_tactic,L4:down_proj,HIGH
130,"inputs=[{""name"":""__myln_k_arg__bb1_2794"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye616369dconst"",""shape"":[1,1024,1024],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2795"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L5:v_proj,HIGH
134,"inputs=[{""name"":""__myln_k_arg__bb1_2793"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye616527dconst"",""shape"":[1,1024,1024],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2798"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L5:k_proj,HIGH
138,"inputs=[{""name"":""__myln_k_arg__bb1_2792"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye616532dconst"",""shape"":[1,1024,2048],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2803"",""shape"":[1,1,2048],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L5:q_proj,HIGH
