experiment_id,name,phase,status,platform,branch,commit,baseline,result,gate,report,date
Phase2.1.8,Qwen3-like decoder block TensorRT feasibility,Phase 2,PASS,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,Synthetic Qwen3-like FP16 decoder block,"ONNX checker PASS; TensorRT 10.3 parse/build PASS; dynamic batch 1/2 CUDA execution finite and shape-correct; FP16 normalization warnings retained; no full-model or quantization claim",SUPPORTED,experiments/Phase2-qwen3-quantization/docs/phase2_1_8_qwen3_block_feasibility.md,2026-09-01
Phase2.1.9,Full Qwen3 TensorRT architecture audit,Phase 2,PASS,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,Read-only Qwen3-0.6B architecture memory and runtime-route map,"Config/architecture PASS; theoretical weight and KV estimates recorded; native TensorRT remains partial pending full export/KV runtime; no model load/export/engine/benchmark",BLOCKED_NEEDS_RUNTIME_WORK,experiments/Phase2-qwen3-quantization/docs/phase2_1_9_full_qwen3_tensorRT_architecture_audit.md,2026-09-02
Phase2.2-prep,Qwen3 TensorRT FP16 runtime prototype preparation,Phase 2,PREPARED,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,CPU-only KV-cache/runtime interface design,"Gate A/B PREPARED; synthetic cache validation PASS; theoretical batch 1/2 KV estimates; no TensorRT execution, full export, engine, benchmark or quantization",PREPARED,experiments/Phase2-qwen3-quantization/phase2_2_runtime_prototype/docs/phase2_2_runtime_design.md,2026-09-02
Phase2.2-A,Single-layer TensorRT FP16 KV-cache runtime integration,Phase 2,PARTIAL / BOUNDED PASS,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,Synthetic single-layer prefill/decode runtime,"C1-C5 bounded PASS; dynamic cache growth 8->12; CUDA-resident direct bindings; numerical differences informational; no full model/benchmark",PARTIAL,experiments/Phase2-qwen3-quantization/phase2_2_runtime_prototype/docs/phase2_2a_single_layer_trt_runtime.md,2026-09-02
Phase2.2-B1,Multi-layer TensorRT runtime prototype,Phase 2,PASS / BOUNDED,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,Four-layer synthetic runtime orchestration,"B1-1..B1-5 PASS; independent per-layer KV caches; dynamic decode 8->12; CUDA-resident; no 28-layer/full-model deployment",PASS,experiments/Phase2-qwen3-quantization/phase2_2_runtime_prototype/docs/phase2_2b1_multilayer_runtime.md,2026-09-02
Phase2.2-B2.0,Controlled runtime toolchain environment bridge,Phase 2,BLOCKED / DUAL ENV,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,HF and TensorRT tools environment compatibility audit,"ENV-A/B/D/E PASS; ENV-C single-env blocked; pip lacks --dry-run; no package changes; dual-env required",BLOCKED,experiments/Phase2-qwen3-quantization/phase2_2_runtime_prototype/docs/phase2_2b2_environment_bridge.md,2026-09-02
Phase2.2-B2,Real Qwen3 Layer 0 integration via dual environment,Phase 2,PASS / BOUNDED,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,Real frozen Layer 0 HF/portable/TensorRT FP16 path,"B2-1..B2-8 PASS bounded; exact HF-portable BF16; TensorRT dynamic decode 8->12; zero prefix mutation; no full model",PASS,experiments/Phase2-qwen3-quantization/phase2_2_runtime_prototype/docs/phase2_2b2_real_qwen3_layer.md,2026-09-02
Phase2.2-B3,Real Qwen3 four-layer TensorRT stack and numerical propagation,Phase 2,PASS / BOUNDED,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,Real layers 0-3 single TensorRT FP16 stack,"B3-1..B3-8 PASS/bounded; dynamic decode 8->12; zero prefix mutation; pointer isolation; four-layer numerical propagation; no layers 4-27",PASS,experiments/Phase2-qwen3-quantization/phase2_2_runtime_prototype/docs/phase2_2b3_real_qwen3_four_layer_stack.md,2026-09-02
Phase2.2-B4,Real Qwen3 28-layer decoder stack feasibility,Phase 2,BLOCKED_BY_28L_ORACLE_MEMORY,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,28-layer HF oracle preflight,"Monolithic and predefined 7x4 attempts killed with exit 137; no handoff, ONNX, TensorRT or runtime validation",BLOCKED,experiments/Phase2-qwen3-quantization/phase2_2_runtime_prototype/docs/phase2_2b4_real_qwen3_28_layer_feasibility.md,2026-09-02
Phase2.2-B4.1,28-layer oracle memory root-cause and streaming recovery,Phase 2,PASS / CLOSED,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,Exact-model Phase 1 probe plus streaming handoff and bounded oracle diagnostics,"Implementation memory lifetime confirmed; 28-file handoff and 4/8/28-layer diagnostics pass; 28-layer prefill and decode 8->9 pass; no ONNX/TensorRT",PASS,experiments/Phase2-qwen3-quantization/phase2_2_runtime_prototype/docs/phase2_2b4_1_oracle_memory_recovery.md,2026-09-02
Phase2.2-B4.2,Real Qwen3 28-layer TensorRT decoder stack,Phase 2,PASS / BOUNDED,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,One-stack real decoder FP16 prefill and dynamic-decode engines,"B4.2-1..B4.2-8 PASS; 28-layer prefill and decode 8->12 finite; all cache prefixes exact and isolated; selected-layer numerical bound passed; no full model/benchmark",PASS,experiments/Phase2-qwen3-quantization/phase2_2_runtime_prototype/docs/phase2_2b4_2_real_28layer_trt.md,2026-09-02
Phase2.2-C0,Full Qwen3 runtime architecture audit,Phase 2,PASS / DESIGN ONLY,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,Text-to-token runtime architecture boundary,"C0 design document complete; C1 embedding, C2 final RMSNorm, C3 LM head, C4 greedy sampling and C5 token agreement remain TODO; no runtime execution",PASS / DESIGN ONLY,docs/phase2_2c_runtime_architecture.md,2026-09-02
Phase2.2-C1,Qwen3 real embedding TensorRT integration,Phase 2,BLOCKED,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,Real embed_tokens Gather engine and B4.2 handoff,"C1D D0 PASS; D1 embedding byte-identical; D3 host/direct identical failure; Layer 27 relative-L2 2.004247 cosine 0.534268; no stream/pointer/binding root cause confirmed; C1 remains blocked",BLOCKED,experiments/Phase2-qwen3-quantization/phase2_2_runtime_prototype/docs/phase2_2c1_decoder_boundary_diagnostic.md,2026-09-02
Phase2.2-C1E,Layerwise decoder numerical divergence localization,Phase 2,FIRST_DIVERGENCE_FOUND,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,Existing B4.2 per-layer hidden outputs with canonical C1 embedding,"D0 PASS; first non-zero difference Layer 0; first relative-L2 >0.10 Layer 21; first cosine <0.99 Layer 22; component attribution not performed; C1 remains blocked",FIRST_DIVERGENCE_FOUND,experiments/Phase2-qwen3-quantization/phase2_2_runtime_prototype/docs/phase2_2c1_layerwise_divergence_report.md,2026-09-02
Phase2.2-C1G,Qwen3 Layer 0 internal tensor probe,Phase 2,FIRST_MATERIAL_OPERATOR_FOUND,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,Independent Group A/B/C Layer 0 FP16 TensorRT diagnostic engines,"Probe validity A/B/C PASS; first non-zero input RMSNorm rel-L2 0.000491762; QK score rel-L2 1.95e-7 to softmax 0.003432333; first material amplification narrowed to softmax, root cause not confirmed; C1 remains blocked",FIRST_MATERIAL_OPERATOR_FOUND,experiments/Phase2-qwen3-quantization/phase2_2_runtime_prototype/docs/phase2_2c1_layer0_internal_probe.md,2026-09-02
Phase2.2-C1H,Attention softmax numerical semantics confirmation,Phase 2,SOFTMAX_HYPOTHESIS_REJECTED,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,Exact pre-softmax audit plus same-input native/FP32 softmax micro and Layer 0 single-variable A/B,"Masked pre-softmax rel-L2 1.9496e-7; native and explicit FP32 TensorRT softmax matched portable output; oracle rel-L2 0.000154608; Layer 0 FP32-softmax-only rel-L2 0.003787680 unchanged; no OOM/exit 137",SOFTMAX_HYPOTHESIS_REJECTED,experiments/Phase2-qwen3-quantization/phase2_2_runtime_prototype/docs/phase2_2c1_softmax_semantics.md,2026-09-02
Phase2.2-C1I,Qwen3 Layer 0 Q/K and RoPE numerical isolation,Phase 2,ROPE_MAJOR_SOURCE_CONFIRMED,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,Fresh Layer 0 internal probe plus same-input Q/K norm and RoPE micro engines,"Q/K projection/norm below 0.002 rel-L2; Q RoPE micro 0.092710741; K RoPE micro 0.014421386; QK raw 0.043750536; valid FP32 A/B no improvement; no OOM/exit 137; C1 remains blocked",ROPE_MAJOR_SOURCE_CONFIRMED,experiments/Phase2-qwen3-quantization/phase2_2_runtime_prototype/docs/phase2_2c1_qk_rope_numerics.md,2026-09-02
Phase2.2-C1J,Qwen3 Layer 0 RoPE numerical root-cause diagnostic,Phase 2,ROPE_PRECISION_SEMANTICS_CONFIRMED,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,Fresh RoPE cache/position/layout/precision micro engines and Layer 0 A/B,"Native TensorRT cache differs from portable FP16 cache; FP32-cache variant exact; Q/K RoPE output rel-L2 0.0927107111/0.0144213885; positions 0..7, half-split layout and GQA repeat 2 confirmed; B4.2 control 0.0037876803; no OOM/exit 137",ROPE_PRECISION_SEMANTICS_CONFIRMED,experiments/Phase2-qwen3-quantization/phase2_2_runtime_prototype/docs/phase2_2c1_rope_numerics.md,2026-09-03
Phase2.2-C1K,Qwen3 Layer 0 RoPE cache precision validation,Phase 2,ROPE_CACHE_FIX_VALIDATED,Jetson Orin Nano Super,phase/02-qwen3-quantization,4967feb895a5d2675db2571dadedcca0a8d32ff9,Explicit fixed portable FP16 cos/sin cache initializers versus native TRT RoPE,"Q/K RoPE rel-L2 0.0927107111/0.0144213885 -> 0.0001572046/0.0000268356; Layer 0 rel-L2 0.0347152092 -> 0.0038153231 (9.0989x); no OOM/exit 137; C1 remains BLOCKED",ROPE_CACHE_FIX_VALIDATED,experiments/Phase2-qwen3-quantization/phase2_2_runtime_prototype/docs/phase2_2c1_rope_cache_precision_validation.md,2026-09-03
Phase2.2-C1-closeout,Qwen3 embedding plus corrected 28-layer TensorRT decoder closeout,Phase 2,CLOSED / NUMERICAL_LIMITATION_UNRESOLVED,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,C1K FP16 RoPE cache correction applied to new 28-layer prefill/decode engines,"Embedding byte-identical; prefill/decode finite; decode 8->12 KV invariants PASS; Layer 0 rel-L2 0.0038153231 and Layer 27 rel-L2 2.0046324720 versus portable reference; no OOM/exit 137",CLOSED / NUMERICAL_LIMITATION_UNRESOLVED,experiments/Phase2-qwen3-quantization/phase2_2_runtime_prototype/docs/phase2_2c1_closeout.md,2026-09-03
Phase2.2-C2,Qwen3 final RMSNorm integration,Phase 2,PASS / BOUNDED,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,Pinned model.norm final RMSNorm with independent TensorRT native and FP32-reduction engines,"Operator same-input relative-L2 0.000590547 prefill and 0.000350695 decode; prefill/decode CUDA integration PASS; same Layer27 input relative-L2 0.08413005; no OOM/exit 137",PASS / BOUNDED,experiments/Phase2-qwen3-quantization/phase2_2_runtime_prototype/docs/phase2_2c2_final_rmsnorm.md,2026-09-03
Phase2.2-C3,Qwen3 LM Head integration,Phase 2,PASS / BOUNDED,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,Pinned lm_head.weight audit plus independent TensorRT FP16 MatMul and decoder-norm diagnostic,"Synthetic prefill relative-L2 0.00169018 and decode 0.00164510; argmax 9/9 equal and top-5 full overlap; full path finite with logits relative-L2 0.04533300 marked END_TO_END_DIAGNOSTIC_ONLY; no OOM/exit 137",PASS / BOUNDED,experiments/Phase2-qwen3-quantization/phase2_2_runtime_prototype/docs/phase2_2c3_lm_head.md,2026-09-03
Phase2.2-C4,Qwen3 greedy sampling integration,Phase 2,PASS / BOUNDED,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,Deterministic CPU/NumPy argmax over C3 logits and read-only full single-step runtime,"Synthetic clear/near/exact ties exact agreement; C3 decode token 2629 and last-token 57133 exact; full runtime input [0..7] produces portable/TRT token 42 with margin 0.421875; no OOM/exit 137",PASS / BOUNDED,experiments/Phase2-qwen3-quantization/phase2_2_runtime_prototype/docs/phase2_2c4_greedy_sampling.md,2026-09-03
Phase2.2-C5,Qwen3 end-to-end autoregressive generation runtime,Phase 2,PASS / BOUNDED,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,"Tokenizer to TensorRT embedding, 28-layer prefill/decode, KV cache, Final RMSNorm, LM Head and greedy loop","Prompt Hello -> [9707]; HF [21806,0,358,2776] vs TRT [0,46309,46309,46309] divergence at step 0 due to documented C1 limitation; cache lengths 1->4, exact prefixes, pointer isolation, valid tokens, tokenizer decode PASS; no OOM/exit 137",PASS / BOUNDED,experiments/Phase2-qwen3-quantization/phase2_2_runtime_prototype/docs/phase2_2c5_generation_runtime.md,2026-09-03
Phase2.3-A,Explicit INT8 Q/DQ feasibility and quantization baseline,Phase 2,PASS,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,Real Qwen3 Layer 0 q_proj with shared canonical input,"Q/DQ sanity PASS; W8-QDQ and W8A8-QDQ build/execute finite; W8 relative-L2 0.04692697 and W8A8 0.04787614 versus TRT FP16; W8A8 EngineInspector i8 GEMM tactic supports INT8_COMPUTE_PROVEN for this target/profile; no calibration, benchmark, Nsight or full runtime",PASS,experiments/Phase2-qwen3-quantization/docs/phase2_3a_explicit_qdq_feasibility.md,2026-09-03
Phase2.3-B,Calibration / activation range audit,Phase 2,PASS,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,Exact Layer 0 q_proj input provenance with deterministic real calibration/evaluation corpus,"24 calibration and 12 disjoint evaluation samples; selected BOUNDED_MSE_CLIP scale 0.0243602362; W8A8-vs-W8 activation-only relative-L2 median/P95/max 0.019526/0.020111/0.020117; W8A8-vs-FP16 total median/P95/max 0.033015/0.033980/0.034272; selected EngineInspector shows Int8 activation/weight and i8 GEMM; no full-model calibration, benchmark or Nsight",PASS,experiments/Phase2-qwen3-quantization/docs/phase2_3b_calibration_activation_range_audit.md,2026-09-03
Phase2.3-C,Layer / operator sensitivity,Phase 2,PASS / BOUNDED,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,All 196 decoder Linear weights plus 34 exact-input portable targets and 8 deterministic TRT confirmations,"PT-W8 and PC-W8 portable reconstruction complete; five-variant portable outputs finite; FP16/PT-W8/PT-W8A8 TRT PASS; PC-W8/PC-W8A8 TensorRT 10.3 per-channel QDQ parser BLOCKED; no benchmark Nsight INT4 or 28-layer quantized runtime",PASS / BOUNDED,experiments/Phase2-qwen3-quantization/docs/phase2_3c_layer_operator_sensitivity.md,2026-09-03
Phase2.3-D,Qwen3 mixed precision policy,Phase 2,PASS / BOUNDED,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,C-derived 196-Linear policies plus real HF BF16 exact-input streaming calibration and portable component prevalidation,"P2 family guard uses FP16 up/down plus C gate outlier; one robust refinement produces final 63 FP16 and 133 PT-W8A8 assignments; 24 calibration/12 evaluation prompts; no raw activations, TensorRT quantized runtime, benchmark, Nsight, or C1 investigation",PASS / BOUNDED,experiments/Phase2-qwen3-quantization/docs/phase2_3d_mixed_precision_policy.md,2026-09-04
Phase2.3-E,28-layer mixed-precision quantized runtime,Phase 2,PASS / BOUNDED,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,Apply frozen P2 policy to B4.2 ONNX via explicit Q/DQ and build mixed 28-layer prefill/decode engines with full runtime validation,"196/196 policy applied 63 FP16 + 133 PT-W8A8; 28/28 mixed engines built with 133 sm80_xmma_gemm_i8 INT8 GEMM tactics; prefill/decode/KV/norm/LM-head/generation PASS; forced-decode mixed-vs-FP16 hidden rel-L2 0.542-0.603 and logits 0.324-0.371; top1 0/4 top5 1-2/5; no OOM/exit137",PASS / BOUNDED,experiments/Phase2-qwen3-quantization/docs/phase2_3e_28layer_mixed_precision_runtime.md,2026-09-04
Phase2.3-F,Accuracy memory performance comparison,Phase 2,PASS / BOUNDED,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,Compare TRT FP16 vs Phase 2.3-E mixed runtime on 12 evaluation prompts plus same-session benchmark,"12-prompt prefill logits mixed-vs-FP16 rel-L2 median 0.331 cosine median 0.909 top1 4/12; forced-decode cosine median 0.888; mixed ~48% slower prefill and ~35% slower decode (tokens/s 0.51 vs 0.38); 27% smaller engines; no OOM/exit137; MIXED_RUNTIME_SLOWER",PASS / BOUNDED,experiments/Phase2-qwen3-quantization/docs/phase2_3f_accuracy_memory_performance_comparison.md,2026-09-04
Phase3A,Runtime bottleneck attribution,Phase 3,PASS / BOUNDED,Jetson Orin Nano Super,phase/03-runtime-bottleneck-attribution,HEAD,TRT FP16 vs TRT mixed controlled benchmark and Nsight Systems timeline,"Mixed prefill +49.14/+48.96% at S=8/16 and decode +36.01/+35.69%; GPU busy 1.46-3.00% of wall; Mixed CUDA API delta +550.1/+680.1 ms with cuModuleLoadData+Unload +565.3/+693.8 ms; Mixed kernel time lower than FP16; Q/DQ direct GPU-cost hypothesis DISPROVEN; per-call execution-context mechanism SUPPORTED; NCU NOT REQUIRED",PASS / BOUNDED,docs/phase3a_runtime_bottleneck_attribution.md,2026-09-04
Phase3B,TensorRT runtime object lifetime optimization,Phase 3,PASS / CLOSED / PROVEN,Jetson Orin Nano Super,phase/03b-runtime-object-lifetime,HEAD,"Persistent execution-context causal A/B with functional validation, same-session benchmark and NSYS","B2 Mixed outputs exactly equal with KV invariants PASS; steady module load/unload collapsed to zero; Mixed prefill 2259.919/2255.619 -> 47.627/42.406 ms and TPOT 2662.990/2662.266 -> 43.362/43.580 ms; GapRecovery 99.7-100.3%; initialization increased and exact context-only memory cost INCONCLUSIVE; no OOM/exit137",PASS / CLOSED / PROVEN,docs/phase3b_runtime_object_lifetime.md,2026-09-04
Phase3C,Persistent runtime residual profiling,Phase 3,PASS / BOUNDED,Jetson Orin Nano Super,phase/03c-residual-runtime-profiling,HEAD,"Persistent FP16/Mixed controlled benchmark and steady-state NSYS attribution","Persistent runtimes near parity; steady module load/unload 0/0; prefill+4 decode kernel time 219.710/147.831 ms and CUDA API time 186.374/116.749 ms (FP16/Mixed); GEMM dominant named category but largest single kernel 35.31%/26.78% of kernel time; NCU NOT REQUIRED; no justified Phase 3-D CUDA operator target",PASS / BOUNDED,docs/phase3c_residual_runtime_profiling.md,2026-09-04
Phase3D0,CUDA Graph feasibility study,Phase 3,BLOCKED / BOUNDED,Jetson Orin Nano Super,phase/03d0-cuda-graph-feasibility,HEAD,Persistent TensorRT stream baseline,"Full-window and per-engine PyTorch CUDA Graph capture completed with fixed addresses but failed hidden/logits/KV validation; formal benchmark BLOCKED_NO_VALID_GRAPH_PATH; 8-step NSYS showed persistent 3376 kernels/217.708 ms versus graph replay 64 FillFunctor kernels/0.298 ms and no TensorRT kernels",BLOCKED / BOUNDED,docs/phase3d0_cuda_graph_feasibility.md,2026-09-04
Phase3E,TensorRT kernel attribution & compute efficiency audit,Phase 3,PASS / BOUNDED / NO_PROVEN_CUDA_OPTIMIZATION_TARGET,Jetson Orin Nano Super,phase/03e-tensorrt-kernel-attribution,HEAD,TensorRT EngineInspector + Phase 3-C NSYS + targeted NCU,"Three unique GEMM kernels selected; rank-1 h16816 97.06% memory/L2, 39.57% SM, 39.673148% HMMA active, 24.78% achieved occupancy; rank-2/3 small decode GEMMs 71.92-76.88% memory/L2 and 17.167166-17.697509% HMMA active; compact FP16 operator/tactic attribution UNKNOWN; direct DRAM N/A",PASS / BOUNDED / NO_PROVEN_CUDA_OPTIMIZATION_TARGET,docs/phase3e_kernel_attribution.md,2026-09-04
Phase4A,TensorRT operator attribution recovery,Phase 4,COMPLETE,Jetson Orin Nano Super,phase/04a-tensorrt-operator-attribution-recovery,HEAD,"EngineInspector, ONNX inventory and NSYS NVTX correlation","250 GEMM candidates; all seven named projections have 28 HIGH layer mappings; NVTX/ONNX/Inspector runtime correlation established",COMPLETE,results/phase4a_operator_attribution/,2026-09-05
Phase4B,CUDA optimization target selection,Phase 4,PASS / BOUNDED,Jetson Orin Nano Super,phase/04a-tensorrt-operator-attribution-recovery,HEAD,"Ordinal evidence-conditioned candidate ranking","up_proj selected with score 9.0; decode-only shape M=1,K=1024,N=3072; research target only",PASS / BOUNDED,results/phase4b_target_selection/20260904T140726Z/phase4b_target_selection_report.md,2026-09-05
Phase4C,up_proj optimization baseline freeze,Phase 4,PASS / BOUNDED,Jetson Orin Nano Super,phase/04a-tensorrt-operator-attribution-recovery,HEAD,"Read-only target, shape, oracle, benchmark and success-criteria freeze","C[1,3072]=A[1,1024]*B[1024,3072] FP16 frozen for 28 layers; pure per-call baseline initially UNKNOWN",PASS / BOUNDED,results/phase4c_up_proj_baseline/20260904T152617Z/phase4c_up_proj_baseline_report.md,2026-09-05
Phase4D,up_proj standalone GEMM baseline,Phase 4,PASS / BOUNDED,Jetson Orin Nano Super,phase/04a-tensorrt-operator-attribution-recovery,HEAD,"Trusted PyTorch library synthetic GEMM reference","torch.matmul median 0.086364701 ms and CV 0.0454%; exact backend kernel and TensorRT baseline UNKNOWN",PASS / BOUNDED,results/phase4d_up_proj_gemm_baseline/20260904T155541Z/phase4d_up_proj_gemm_baseline_report.md,2026-09-05
Phase4E,up_proj TensorRT layer timing,Phase 4,PASS / BOUNDED,Jetson Orin Nano Super,phase/04a-tensorrt-operator-attribution-recovery,HEAD,"Existing Mixed Decode engine IProfiler layer timing","28/28 up_proj layers timed; per-layer median 153.28-159.76 us; 28-layer aggregate mean 4682.253873 us and median 4339.215986 us; h16816 coverage UNKNOWN",PASS / BOUNDED,results/phase4e_up_proj_baseline/20260904T161320Z/phase4e_up_proj_baseline_report.md,2026-09-05
Phase4F,up_proj kernel attribution refinement,Phase 4,PASS / BOUNDED,Jetson Orin Nano Super,phase/04a-tensorrt-operator-attribution-recovery,HEAD,"Raw NSYS SQLite NVTX/runtime/kernel correlation","28/28 ranges and layers correlated to 196 launches; h16816 84/196 and sm80_xmma_gemm_* 112/196; per-invocation distribution UNKNOWN",PASS / BOUNDED,results/phase4f_kernel_attribution/20260904T164404Z/phase4f_kernel_attribution_report.md,2026-09-05
Phase4G,Optimization hypothesis validation,Phase 4,PASS / BOUNDED / NO_PROVEN_OPTIMIZATION_HYPOTHESIS,Jetson Orin Nano Super,phase/04a-tensorrt-operator-attribution-recovery,HEAD,"Read-only evidence inventory and bottleneck/hypothesis analysis","H1 memory/L2 traffic reshape is MEDIUM_FOR_BOTTLENECK_DIRECTION only; no proven optimization hypothesis; CUDA readiness NOT READY",PASS / BOUNDED / NO_PROVEN_OPTIMIZATION_HYPOTHESIS,results/phase4g_optimization_hypothesis/20260905T040918Z/phase4g_optimization_hypothesis_report.md,2026-09-05
Phase5A,CUDA feasibility baseline study,Phase 5,CASE_2_SUPPORTED_BOUNDED / NO_PROVEN_TACTIC_DEFECT,Jetson Orin Nano Super,phase/05a-cuda-feasibility-baseline-study,HEAD,"Direct cuBLASLt/CUTLASS benchmark plus read-only TensorRT NSYS boundary reconciliation","cuBLASLt median 0.080077961 ms; best CUTLASS 0.083619133 ms; historical TensorRT GEMM kernel steady-state median 147.424 us; h16816 median 253.680 us; xmma median 118.800 us; no attributed non-GEMM kernel; no tactic defect proven; backend identity UNKNOWN",CASE_2_SUPPORTED_BOUNDED / NO_PROVEN_TACTIC_DEFECT,results/phase5a_cuda_feasibility_baseline/20260905T072100Z/phase5a_trt_boundary_reconciliation.md,2026-09-05
